PASS   unit-phase                                              1510 cases
PASS   Audio2Face3DTests.E2EAudio2Face3DTests                  3 passed, 0 skipped
PASS   AudioCommonTests.E2EStreamingPlaybackTests              6 passed, 0 skipped
PASS   AudioCommonTests.E2ESystemAudioTapTests                 1 passed, 0 skipped
PASS   AudioServerTests.E2EOpenAISpeechTests                   1 passed, 0 skipped
PASS   AudioServerTests.E2EOpenAITranscriptionsTests           6 passed, 0 skipped
PASS   AudioServerTests.E2ERealtimeAPIEnginesTests             6 passed, 0 skipped
PASS   ChatterboxTTSTests.E2EChatterboxFlashCoreMLTests        0 passed, 6 skipped
PASS   ChatterboxTTSTests.E2ERoundtripTests                    0 passed, 3 skipped
PASS   CohereTranscribeASRTests.E2ECohereTranscribeASRTests    0 passed, 1 skipped
PASS   CosyVoiceTTSTests.E2ECosyVoiceForwardPassTests          5 passed, 0 skipped
PASS   CosyVoiceTTSTests.E2ECosyVoiceTTSTests                  8 passed, 0 skipped
PASS   CosyVoiceTTSTests.E2ECosyVoiceTokenizerTests            5 passed, 0 skipped
PASS   CosyVoiceTTSTests.E2ECosyVoiceWeightLoadingTests        3 passed, 0 skipped
PASS   F5TTSTests.E2EF5TTSFlowParityTests                      0 passed, 1 skipped
PASS   F5TTSTests.E2EF5TTSTests                                0 passed, 2 skipped
PASS   F5TTSTests.E2EF5TTSTransformerParityTests               0 passed, 1 skipped
PASS   F5TTSTests.E2EF5TTSVocosParityTests                     0 passed, 1 skipped
PASS   FishAudioTTSTests.E2EFishAudioTTSTests                  0 passed, 10 skipped
PASS   FlashSRTests.E2EFlashSRTests                            2 passed, 0 skipped
PASS   HibikiTranslateTests.E2EHibikiTranslateTests            0 passed, 8 skipped
PASS   HiggsTTSTests.E2EHiggsTTSTests                          0 passed, 4 skipped
PASS   IndexTTS2TTSTests.E2EIndexTTS2BundleTests               0 passed, 2 skipped
PASS   IndicMioTTSTests.E2EIndicMioTTSTests                    3 passed, 0 skipped
PASS   KokoroTTSTests.E2EKokoroTests                           6 passed, 0 skipped
PASS   MADLADTranslationTests.E2ELocalMADLADTests              4 passed, 0 skipped
PASS   MADLADTranslationTests.E2EMADLADTranslationTests        8 passed, 0 skipped
PASS   MAGNeTMusicGenTests.E2EDiagnosticsTests                 4 passed, 0 skipped
PASS   MAGNeTMusicGenTests.E2EEncodecComparisonTests           1 passed, 0 skipped
PASS   MAGNeTMusicGenTests.E2EMAGNeTPipelineTests              3 passed, 1 skipped
PASS   MagpieTTSCoreMLTests.E2EMagpieCoreMLTests               2 passed, 0 skipped
PASS   MagpieTTSTests.E2EMagpieSynthesisTests                  5 passed, 0 skipped
PASS   MossTranscribeTests.E2EMossTranscribeTests              6 passed, 1 skipped
PASS   NemotronStreamingASRTests.E2EHiBisect                   0 passed, 1 skipped
PASS   NemotronStreamingASRTests.E2ENemotronHarshAudioTests    3 passed, 0 skipped
